National_Series_Id,National_Series,Red_Value,Green_Value,Blue_Value,Live
0860BA,Barnamire,128,128,0,LIVE
0860BE,Beltra,128,128,0,DEAD
0860BG,Ballyglasheen,128,128,0,LIVE
0860CB,Carrickbyrne,128,128,0,LIVE
0860CG,Carrowgavneen,128,128,0,LIVE
0860CL,Conlawn,128,128,0,DEAD
0860GB,Glenbough Variant,128,128,0,LIVE
0860GG,Gortaloughhane,128,128,0,LIVE
0860KE,Knockcommane,128,128,0,DEAD
0860KEV,Knockcommane variant,128,128,0,DEAD
0860PO,Portlaw,128,128,0,LIVE
0860S06,Soil 6,128,128,0,DEAD
0860SH,Sandhills variant,128,128,0,DEAD
0860UN38,UNnamed_38,128,128,0,DEAD
0860UN58,UNnamed_58,128,128,0,DEAD
0890SL1,Slieve (Type 1),128,128,0,DEAD
0900AY,Accony,204,255,204,DEAD
0900CA,Carne,204,255,204,DEAD
0900CH,Callaghane,204,255,204,DEAD
0900CN,Clonin,204,255,204,LIVE
0900CO,Cooga,204,255,204,LIVE
0900CU,Cupidstownhill,204,255,204,LIVE
0900DM,Drimoleague,204,255,204,DEAD
0900DR,Drummin,204,255,204,DEAD
0900DRB,Drummin Bouldery phase,204,255,204,DEAD
0900FN,Finnea,204,255,204,DEAD
0900GUR,Gurteen,204,255,204,DEAD
0900KG,Kilnageer,204,255,204,DEAD
0900KL,Kyleva,204,255,204,DEAD
0900KSB,Knockastanna,204,255,204,DEAD
0900KY,Kiltealy,204,255,204,LIVE
0900MD,Madore,204,255,204,DEAD
0900NBP1,NBP1,204,255,204,DEAD
0900NBP2,NBP2,204,255,204,LIVE
0900NBP4,NBP4,204,255,204,LIVE
0900NBP6,NBP6,204,255,204,DEAD
0900NBP8,NBP8,204,255,204,DEAD
0900NT,Nethertown,204,255,204,DEAD
0900RAT,Rathduff,204,255,204,LIVE
0900RATM,Rathduff Moderately Steep phase,204,255,204,DEAD
0900RKS,Rathkenny Sandy variant,204,255,204,DEAD
0900RO,Ross Carbery,204,255,204,LIVE
0900ROB,Ross Carbery Broken phase,204,255,204,DEAD
0900ROP,Ross Carbery Plaggen,204,255,204,DEAD
0900S02,Soil 2,204,255,204,DEAD
0900S02a,Soil 2a,204,255,204,DEAD
0900SH,Srah,204,255,204,DEAD
0900SL2,Slieve (Type 2),204,255,204,DEAD
0900SN,Screen,204,255,204,LIVE
0900TM,Tomies,204,255,204,LIVE
0900TN,Tiknock,204,255,204,LIVE
0900UN06,UNnamed_06,204,255,204,DEAD
0900UN07,UNNamed_07,204,255,204,DEAD
0900UN29,UNnamed_29,204,255,204,LIVE
0900UN30,UNnamed_30,204,255,204,DEAD
0900UN31,UNnamed_31,204,255,204,DEAD
0900UN90,UNnamed_90,204,255,204,DEAD
0900UN91,UNnamed_91,204,255,204,DEAD
0900WH,Wardhouse,204,255,204,DEAD
0920CG,Clonegall,204,255,204,LIVE
0920TO,Tomard,204,255,204,DEAD
0930CR,Corriga,204,255,204,LIVE
0930CRB,Corriga bouldery phase,204,255,204,DEAD
0930FLM,Flemingstown,204,255,204,LIVE
0930NBP17,NBP17,204,255,204,DEAD
0930NBP22,NBP22,204,255,204,DEAD
0930RMV,Rathduff mottled variant,204,255,204,DEAD
0930UN33,UNnamed_33,204,255,204,DEAD
0936AM,Ardmoelode,204,255,204,LIVE
0936BA,Bawn,204,255,204,LIVE
0936LT,Loughatooma,204,255,204,LIVE
0960BE,Borrisoleigh,204,255,204,LIVE
0960BES,Borrisoleigh steep phase,204,255,204,DEAD
0960BR,Ballybrood,204,255,204,DEAD
0960CB,Carrigblagher ,204,255,204,DEAD
0960CM,Crossmolina,204,255,204,DEAD
0960DL,Doonglara,204,255,204,DEAD
0960KA,Killnageer,204,255,204,DEAD
0960KB,Knockboy,204,255,204,LIVE
0960KC,Knockaceol,204,255,204,LIVE
0960KCB ,Knockaceol bouldery phase,204,255,204,DEAD
0960KCP ,Knockaceol peaty phase,204,255,204,DEAD
0960MS,Mountcollins,204,255,204,DEAD
0960NBP14,NBP14,204,255,204,DEAD
0960RE,Reanascreena,204,255,204,DEAD
0960RG,Ridge,204,255,204,DEAD
0960RK,Rathkenny,204,255,204,LIVE
0960RKM,Rathkenny Moderately Steep Phase,204,255,204,DEAD
0960SC,Slievecoiltia,204,255,204,DEAD
0960UN32,UNnamed_32,204,255,204,DEAD
0960UN94,UNnamed_94,204,255,204,DEAD
0960UN96,UNnamed_96,204,255,204,DEAD
0960UN97,UNnamed_97,204,255,204,DEAD
0990MT,Monatray,204,255,204,DEAD
0990ROV,Ross Carbery variant,204,255,204,DEAD
1000AT,Athy,255,153,204,DEAD
1000ATD,Athy moderately deep component,255,153,204,DEAD
1000BC,Ballycastle,255,153,204,DEAD
1000BK,Ballinakill,255,153,204,DEAD
1000BT,Bennettsbridge,255,153,204,DEAD
1000BY,Ballynamona,255,153,204,LIVE
1000CC,Clooncarreen,255,153,204,DEAD
1000CG,Cloongeel,255,153,204,LIVE
1000DB,Dunboyne,255,153,204,LIVE
1000DBG,Dunboyne Gravelly phase,255,153,204,DEAD
1000DBS,Dunboyne Shaley phase,255,153,204,DEAD
1000DG,Dungarvan,255,153,204,LIVE
1000DK,Dromkeen,255,153,204,LIVE
1000ET,Elton,255,153,204,LIVE
1000FT,Fontstown,255,153,204,DEAD
1000GA,Grange,255,153,204,DEAD
1000GW,Graceswood,255,153,204,DEAD
1000HH,Hook Head,255,153,204,DEAD
1000KB,Knockbeg,255,153,204,DEAD
1000KBS,Knockbeg stony phase,255,153,204,DEAD
1000KK,Knock,255,153,204,DEAD
1000KL,Kellistown,255,153,204,LIVE
1000KM,Kilmeaden,255,153,204,DEAD
1000KYV,Knockainy Variant,255,153,204,DEAD
1000MT,Mortarstown,255,153,204,DEAD
1000NLU1,NLU1,255,153,204,DEAD
1000PU,Paulstown,255,153,204,DEAD
1000PW,Patrickswell,255,153,204,DEAD
1000PWB,Patrickswell bouldery phase,255,153,204,DEAD
1000PWL,Patrickswell lithic phase,255,153,204,LIVE
1000PWP,Patrickswell Steep Variant,255,153,204,DEAD
1000PWR,Patrickswell rocky phase,255,153,204,DEAD
1000PWS,Patrickswell shallow variant,255,153,204,DEAD
1000RC,Rathcannon,255,153,204,DEAD
1000RV,Rathvinden,255,153,204,DEAD
1000SY,Stradbally,255,153,204,DEAD
1000SYR,Stradbally Rocky Phase,255,153,204,DEAD
1000UN21,UNnamed_21,255,153,204,DEAD
1000UN22,Unnamed_22,255,153,204,DEAD
1000UN23,Unnamed_23,255,153,204,DEAD
1000UN24,UNnamed_24,255,153,204,DEAD
1000UN64,UNnamed_64,255,153,204,DEAD
1000UN81,UNnamed_81,255,153,204,DEAD
1000WT,Whitegate variant,255,153,204,DEAD
1020CB,Crossabeg,255,153,204,LIVE
1020DA,Daars,255,153,204,DEAD
1020JH,Johnstown,255,153,204,LIVE
1020UN25,UNnamed_25,255,153,204,DEAD
1020UN26,UNnamed_26,255,153,204,DEAD
1026AD,Ardeen,255,153,204,LIVE
1030BD,Ballydoole,255,153,204,DEAD
1030BG,Ballinabranagh,255,153,204,DEAD
1030CO,Crosstown,255,153,204,LIVE
1030DC,Donaghcumper,255,153,204,DEAD
1030FE,Fethard,255,153,204,DEAD
1030FH,Fahy,255,153,204,DEAD
1030GT,Gortavoher,255,153,204,LIVE
1030LG,Laughil,255,153,204,LIVE
1030MT,Milltown,255,153,204,LIVE
1030RA,Rathowen,255,153,204,LIVE
1030RAC,Rathowen Cherty Phase,255,153,204,DEAD
1030UN111,Unnamed_111,255,153,204,DEAD
1030UN27,UNnamed_27,255,153,204,DEAD
1030UN28,UNnamed_28,255,153,204,DEAD
1030UN56,UNnamed_56,255,153,204,DEAD
1030UN57,Unnamed_57,255,153,204,DEAD
1030UN88,UNnamed_88,255,153,204,DEAD
1036BF,Ballyduff,255,153,204,LIVE
1060CG,NLU6SAND,255,153,204,DEAD
1060DK,NLU6SHL,255,153,204,DEAD
1060LD,Lisdillure,255,153,204,LIVE
1060NLU4,NLU_4,255,153,204,DEAD
1060UN86,UNnamed_86,255,153,204,DEAD
1090BA,Bannow,255,153,204,DEAD
1100AU,Acaun,255,204,0,DEAD
1100BA,Baldwinstown,255,204,0,DEAD
1100BC,Ballynalacken,255,204,0,DEAD
1100BD,Ballindaggan,255,204,0,DEAD
1100BG,Ballyglass,255,204,0,LIVE
1100BL,Broomhill,255,204,0,LIVE
1100BM,Ballymacool,255,204,0,LIVE
1100BN,Baunreagh,255,204,0,DEAD
1100BNS,Baunreagh steep phase,255,204,0,DEAD
1100BO,Borris,255,204,0,LIVE
1100BR,Broughillstown,255,204,0,DEAD
1100BRD,Broughillstown Deep Phase,255,204,0,DEAD
1100BRS,Broughillstown Shallow Phase,255,204,0,DEAD
1100BT,Ballytarsna,255,204,0,DEAD
1100BV,Ballyvorheen,255,204,0,LIVE
1100BY,Ballylanders,255,204,0,LIVE
1100CL,Clonroche,255,204,0,LIVE
1100CM,Clashmore,255,204,0,LIVE
1100DA,Dungavan,255,204,0,DEAD
1100DK,Derk,255,204,0,DEAD
