National_Series_Id,National_Series,Modern_Definition,Texture,Substrate_Type,Substrate_1,Substrate_2,Subgroup_Name,GreatGroup_Name,Red_Value,Green_Value,Blue_Value,PhotoArray,Live,Modern_Correlative_Code,Modern_Correlative_Name,RepProfileCount,series_id
0800BS,Ballyscanlon,Loamy over acid igneous rock ,Loamy,over acid igneous rock ,bedrock,acid igneous,Ferric Podzols,Podzol,128,128,0,[],LIVE,0800BS,Ballyscanlon,1,0800BS
0800DS,Drumslig,Loamy over sandstone bedrock,Loamy,over sandstone bedrock,bedrock,sandstone,Ferric Podzols,Podzol,128,128,0,"['RPC20BR02_P1090984.JPG', 'RPC20BR02_P1090991.JPG']",LIVE,0800DS,Drumslig,1,0800DS
0800RD,Roddenagh,Loamy over shale and slate bedrock,Loamy,over shale and slate bedrock,bedrock,shale and slate,Ferric Podzols,Podzol,128,128,0,"['RPT07BR01_P1020760.JPG', 'RPT07BR01_P1020763.JPG', 'RPT07BR02_P1020767.JPG', 'RPT07BR02_P1020775.JPG', 'RPW17BR01_P1030339.JPG', 'RPW17BR01_P1030344.JPG']",LIVE,0800RD,Roddenagh,1,0800RD
0820BK,Brackloon,Sandy over sandstone bedrock,Sandy,over sandstone bedrock,bedrock,sandstone,Typical Gley Podzols,Podzol,128,128,0,[],LIVE,0820BK,Brackloon,1,0820BK
0830CM,Coumduff,Loamy over sandstone and shale bedrock,Loamy,over sandstone and shale bedrock,bedrock,sandstone and shale,Stagno-Gley Podzols ,Podzol,128,128,0,[],LIVE,0830CM,Coumduff,1,0830CM
0843BL,Blackstairs,Sandy over acid igneous bedrock,Sandy,over  acid igneous bedrock,bedrock,acid igneous,Iron-pan Stagno Podzols,Podzol,128,128,0,[],LIVE,0843BL,Blackstairs,1,0843BL
0843FC,Forth Commons,Loamy over sandstone bedrock,Loamy,over sandstone bedrock,bedrock,sandstone,Iron-pan Stagno Podzols,Podzol,128,128,0,[],LIVE,0843FC,Forth Commons,1,0843FC
0843GL,Glenary,Loamy drift with siliceous stones,Loamy,drift with siliceous stones,drift,siliceous stones,Iron-pan Stagno Podzols,Podzol,128,128,0,[],LIVE,0843GL,Glenary,1,0843GL
0843KS,Knockastanna,Loamy over shale bedrock,Loamy,over shale bedrock,bedrock,shale,Iron-pan Stagno Podzols,Podzol,128,128,0,"['RPW69BR01_otto1.JPG', 'RPW69BR01_P1090744.JPG']",LIVE,0843KS,Knockastanna,1,0843KS
0843MV,Monavullagh,Sandy over sandstone bedrock (conglomerate),Sandy,over sandstone bedrock (conglomerate),bedrock,sandstone,Iron-pan Stagno Podzols,Podzol,128,128,0,[],LIVE,0843MV,Monavullagh,1,0843MV
0860ARD,Ardrinane,Loamy over sandstone bedrock,Loamy,over sandstone bedrock,bedrock,sandstone,HumoFerric Podzols,Podzol,128,128,0,[],LIVE,0860ARD,Ardrinane,1,0860ARD
0860BA,Barnamire,Sandy over acid and basic igneous bedrock,Sandy,over acid and basic igneous bedrock,bedrock,acid and basic igneous,HumoFerric Podzols,Podzol,128,128,0,"['RPO11BR03_P1020803.JPG', 'RPO11BR03_P1020811.JPG']",LIVE,0860BA,Barnamire,1,0860BA
0860BG,Ballyglasheen,Loamy over shale and slate bedrock,Loamy,over shale and slate bedrock,bedrock,shale and slate,HumoFerric Podzols,Podzol,128,128,0,[],LIVE,0860BG,Ballyglasheen,1,0860BG
0860CB,Carrickbyrne,Loamy over acid and basic igneous bedrock,Loamy,over acid and basic igneous bedrock,bedrock,acid and basic igneous,HumoFerric Podzols,Podzol,128,128,0,[],LIVE,0860CB,Carrickbyrne,1,0860CB
0860CG,Carrowgavneen,Loamy drift with igenous and metamorphic stones,Loamy,drift with igenous and metamorphic stones,drift,igneous and metamorphic stones,HumoFerric Podzols,Podzol,128,128,0,"['RPG52BR01_P1100084.JPG', 'RPG52BR01_P1100089.JPG']",LIVE,0860CG,Carrowgavneen,1,0860CG
0860GB,Glenbough Variant,Sandy stoneless drift,Sandy,stoneless  drift ,drift,stoneless,HumoFerric Podzols,Podzol,128,128,0,"['RPG54OS01_P1100121.JPG', 'RPG54OS01_P1100123.JPG']",LIVE,0860GB,Glenbough Variant,1,0860GB
0860GG,Gortaloughhane,Sandy over sandstone bedrock,Sandy,over sandstone bedrock,bedrock,sandstone,HumoFerric Podzols,Podzol,128,128,0,"['RPW07ED02_DSC_0198.JPG', 'RPW07ED02_DSC_0204.JPG']",LIVE,0860GG,Gortaloughhane,1,0860GG
0860PO,Portlaw,Loamy drift with siliceous stones,Loamy,drift with siliceous stones,drift,siliceous stones,HumoFerric Podzols,Podzol,128,128,0,"['RPV64BR01_P1090823.JPG', 'RPV64BR01_P1090830.JPG']",LIVE,0860PO,Portlaw,1,0860PO
0900CN,Clonin,Loamy over sandstone bedrock,Loamy,over sandstone bedrock,bedrock,sandstone,Typical Brown Podzolics,Brown Podzolic,204,255,204,"['RPT08BR01_P1020708.JPG', 'RPT08BR01_P1020710.JPG']",LIVE,0900CN,Clonin,1,0900CN
0900CO,Cooga,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Typical Brown Podzolics,Brown Podzolic,204,255,204,"['RPW48BR02_P1030364.JPG', 'RPW48BR02_P1030369.JPG', 'RPW48BR02_P1030370.JPG', 'RPW48BR06_P1100148.JPG', 'RPW48BR06_P1100153.JPG']",LIVE,0900CO,Cooga,1,0900CO
0900CU,Cupidstownhill,Fine loamy over shale bedrock,Fine loamy,over shale bedrock,bedrock,shale,Typical Brown Podzolics,Brown Podzolic,204,255,204,"['RPS45RC14_P1040690.JPG', 'RPS45RC14_P1040692.JPG']",LIVE,0900CU,Cupidstownhill,1,0900CU
